,event_id,member_id,group_id
128,243658466,235261229,25707458
129,243468926,235261229,25707458
130,242971373,235261229,25707458
131,233512149,191433023,20337962
132,243739470,237624833,26079417
133,243739470,237625764,26079417
134,243739470,134794692,26079417
135,243739470,1575535,26079417
136,243739470,238162135,26079417
137,wnbpkmywnbkc,197580884,21651228
138,wnbpkmywmbmc,197580884,21651228
139,wnbpkmywmbmc,233911212,21651228
140,wnbpkmywlbhc,197580884,21651228
141,wnbpkmywkblc,197580884,21651228
142,wnbpkmywhbjc,197580884,21651228
143,wnbpkmywgblc,197580884,21651228
144,wnbpkmywfbpc,197580884,21651228
145,wnbpkmywfbgb,197580884,21651228
146,wnbpkmywdbgb,197580884,21651228
147,243942299,235919891,26159186
148,243942299,10391989,26159186
149,243942299,194165519,26159186
150,243942299,9313723,26159186
151,244492876,60992172,25856788
152,244492876,191709519,25856788
153,244322390,191709519,25856788
154,243916863,191709519,25856788
155,243916863,3246917,25856788
156,243406210,227480320,25718653
157,243406210,222487532,25718653
158,243637412,227480320,25718653
159,243392954,227480320,25718653
160,243190553,227480320,25718653
161,243190553,171095192,25718653
162,243190553,214899808,25718653
163,244125517,217055526,21245706
164,242338932,217055526,21245706
165,237142654,217055526,21245706
166,237142654,61821252,21245706
167,238411140,629372,21390741
168,238411140,188988997,21390741
169,237329385,128461512,21390741
170,237329385,629372,21390741
171,237329385,188988997,21390741
172,237162810,128461512,21390741
173,237162810,629372,21390741
174,237162810,209013189,21390741
175,237162810,188988997,21390741
176,241401020,10740348,24860224
177,241401020,226903957,24860224
178,241401020,228261135,24860224
179,243132124,207791170,25717087
180,243132124,235428814,25717087
181,243132124,226369649,25717087
182,243132124,190791617,25717087
183,243132124,13050124,25717087
184,240296962,153660532,24034447
185,240296962,229575720,24034447
186,240296962,177235402,24034447
187,243775803,7939685,25115699
188,243775803,220443481,25115699
189,243775803,89446912,25115699
190,243775803,238006981,25115699
191,243775803,236840884,25115699
192,243775803,236820716,25115699
193,fqspvnywnbhc,13385553,26090658
194,fqspvnywnbhc,220540112,26090658
195,fqspvnywnbhc,222657420,26090658
196,fqspvnywnbhc,186934449,26090658
197,fqspvnywnbhc,232241567,26090658
198,fqspvnywnbxb,13385553,26090658
199,fqspvnywnbxb,220540112,26090658
200,fqspvnywnbxb,222657420,26090658
201,fqspvnywnbxb,186934449,26090658
202,fqspvnywnbxb,9470306,26090658
203,fqspvnywnbpb,13385553,26090658
204,fqspvnywnbpb,220540112,26090658
205,fqspvnywnbpb,237816521,26090658
206,fqspvnywnbpb,237803257,26090658
207,fqspvnywnbpb,232241567,26090658
208,sddfvnywnbgb,13385553,26090658
209,sddfvnywnbgb,220540112,26090658
210,sddfvnywnbgb,237816521,26090658
211,sddfvnywnbgb,186934449,26090658
212,sddfvnywnbgb,12131688,26090658
213,242797674,200327442,19496778
214,242797674,199072232,19496778
215,242797674,199210779,19496778
216,242797792,200327442,19496778
217,242797792,199072232,19496778
218,242797792,204360367,19496778
219,241687663,199072232,19496778
220,241687663,203780489,19496778
221,241687663,199210779,19496778
222,237706084,212100370,19496778
223,237706084,200327442,19496778
224,237706084,199072232,19496778
225,237706084,203780489,19496778
226,237706084,199210779,19496778
227,237706084,8625444,19496778
228,237706084,227230995,19496778
229,237706071,199072232,19496778
230,237706071,203780489,19496778
231,237706071,8625444,19496778
232,234477354,200327442,19496778
233,234477354,199072232,19496778
234,234477354,199210779,19496778
235,234477354,8625444,19496778
236,234477303,199072232,19496778
237,233258817,200327442,19496778
238,233258817,199072232,19496778
239,233258817,199210779,19496778
240,231336995,200327442,19496778
241,231336995,199072232,19496778
242,231336995,203780489,19496778
243,231336995,199210779,19496778
244,231336995,193863309,19496778
245,229127997,199072232,19496778
246,229127997,203780489,19496778
247,229127997,193863309,19496778
248,228613265,199227254,19496778
249,228613265,199230352,19496778
250,228613265,199072232,19496778
251,228613265,199210779,19496778
252,244583263,237822997,24446290
253,244583263,229380747,24446290
254,244321194,229380747,24446290
255,244164027,237822997,24446290
256,244164027,229380747,24446290
257,244164027,184847215,24446290
258,243970739,237822997,24446290
259,243970739,229380747,24446290
260,243748598,229380747,24446290
261,243748598,184847215,24446290
262,243524770,229380747,24446290
263,243524770,184847215,24446290
264,243336901,229380747,24446290
265,243336901,184847215,24446290
266,242958789,229380747,24446290
267,242730785,229380747,24446290
268,242575017,229380747,24446290
269,242575017,233661697,24446290
270,242363462,182574366,24446290
271,242363462,229380747,24446290
272,240769837,213231489,24446290
273,240769837,229380747,24446290
274,240769837,232659372,24446290
275,243488298,188670284,25972489
276,243488298,51565362,25972489
277,243488298,216446825,25972489
278,243488298,124406592,25972489
279,243488298,53677492,25972489
280,242926475,236505264,25694482
281,242926475,235162613,25694482
282,242926475,235170226,25694482
283,242926475,184684356,25694482
284,fpndtnywnbcc,230023795,24556869
285,fpndtnywnbwb,230023795,24556869
286,fpndtnywnbsb,230023795,24556869
287,fpndtnywnbnb,230023795,24556869
288,243396218,230023795,24556869
289,fpndtnywnbkb,230023795,24556869
290,fpndtnywnbfb,230023795,24556869
291,fpndtnywmbnc,230023795,24556869
292,fpndtnywmbjc,230023795,24556869
293,fpndtnywmbhc,231263460,24556869
294,fpndtnywmbhc,230023795,24556869
295,240964986,230023795,24556869
296,240964840,230023795,24556869
297,240964642,230023795,24556869
298,mxrcjnywkbgb,230023795,24556869
299,mxrcjnywkbgb,230042713,24556869
300,240919794,230023795,24556869
301,240919794,230042713,24556869
302,mxrcjnywjbkc,230023795,24556869
303,mxrcjnywjbkc,230042713,24556869
304,mxrcjnywjbbc,230023795,24556869
