group1,group2,weight
11077852,23040833,1
11077852,1354051,1
11077852,7151442,2
11077852,5282132,3
11077852,19266390,1
11077852,1371991,2
11077852,18506072,8
11077852,18779992,1
11077852,20377949,1
11077852,18286946,1
11077852,20129636,1
11077852,11625832,1
11077852,1786237,1
11077852,3173762,1
11077852,1187715,7
11077852,16487812,4
11077852,21755271,1
11077852,21686664,1
11077852,10426762,1
11077852,14396812,2
11077852,11862932,1
11077852,19249559,1
11077852,22730657,1
11077852,19218850,1
11077852,20336043,4
11077852,23723436,2
11077852,18589616,3
11077852,17467312,1
11077852,405938,1
11077852,23112117,1
11077852,18476981,1
11077852,9376702,2
11077852,18180033,1
11077852,16067522,1
11077852,25717708,1
11077852,1751502,1
11077852,6284242,1
11077852,18616278,3
