event_id,member_id,group_id
241687663,199210779,19496778
237706084,212100370,19496778
237706084,200327442,19496778
237706084,199072232,19496778
237706084,203780489,19496778
237706084,199210779,19496778
237706084,8625444,19496778
237706084,227230995,19496778
237706071,199072232,19496778
237706071,203780489,19496778
237706071,8625444,19496778
234477354,200327442,19496778
234477354,199072232,19496778
234477354,199210779,19496778
234477354,8625444,19496778
234477303,199072232,19496778
233258817,200327442,19496778
233258817,199072232,19496778
233258817,199210779,19496778
231336995,200327442,19496778
231336995,199072232,19496778
231336995,203780489,19496778
231336995,199210779,19496778
231336995,193863309,19496778
229127997,199072232,19496778
229127997,203780489,19496778
229127997,193863309,19496778
228613265,199227254,19496778
228613265,199230352,19496778
228613265,199072232,19496778
228613265,199210779,19496778
244583263,237822997,24446290
244583263,229380747,24446290
244321194,229380747,24446290
244164027,237822997,24446290
244164027,229380747,24446290
244164027,184847215,24446290
243970739,237822997,24446290
243970739,229380747,24446290
243748598,229380747,24446290
243748598,184847215,24446290
243524770,229380747,24446290
243524770,184847215,24446290
243336901,229380747,24446290
243336901,184847215,24446290
242958789,229380747,24446290
242730785,229380747,24446290
242575017,229380747,24446290
242575017,233661697,24446290
242363462,182574366,24446290
242363462,229380747,24446290
240769837,213231489,24446290
240769837,229380747,24446290
240769837,232659372,24446290
243488298,188670284,25972489
243488298,51565362,25972489
243488298,216446825,25972489
243488298,124406592,25972489
243488298,53677492,25972489
242926475,236505264,25694482
242926475,235162613,25694482
242926475,235170226,25694482
242926475,184684356,25694482
fpndtnywnbcc,230023795,24556869
fpndtnywnbwb,230023795,24556869
fpndtnywnbsb,230023795,24556869
fpndtnywnbnb,230023795,24556869
243396218,230023795,24556869
fpndtnywnbkb,230023795,24556869
fpndtnywnbfb,230023795,24556869
fpndtnywmbnc,230023795,24556869
fpndtnywmbjc,230023795,24556869
fpndtnywmbhc,231263460,24556869
fpndtnywmbhc,230023795,24556869
240964986,230023795,24556869
240964840,230023795,24556869
240964642,230023795,24556869
mxrcjnywkbgb,230023795,24556869
mxrcjnywkbgb,230042713,24556869
240919794,230023795,24556869
240919794,230042713,24556869
mxrcjnywjbkc,230023795,24556869
mxrcjnywjbkc,230042713,24556869
mxrcjnywjbbc,230023795,24556869
mxrcjnywjbbc,230042713,24556869
227267904,189146542,18914937
244073127,235689203,25903892
244073127,4579315,25903892
243626790,4579315,25903892
243626790,134837882,25903892
243627655,4579315,25903892
243627655,134837882,25903892
243635917,4579315,25903892
243635917,4883361,25903892
243560370,4579315,25903892
243560370,134837882,25903892
229367987,91626512,18672773
228826479,41099822,18672773
228826479,194619840,18672773
228826479,91626512,18672773
